"","Year-Month ","SRS2","TS1","TS6"
"1","2008-01",0,3,0
"2","2008-02",0,1,0
"3","2009-01",1,2,0
"4","2009-02",1,2,0
"5","2009-03",0,1,0
"6","2010-01",6,7,1
"7","2010-02",1,2,0
"8","2010-03",3,3,0
"9","2010-12",5,8,3
"10","2011-01",1,1,0
"11","2011-03",0,1,0
"12","2012-01",0,3,1
"13","2012-03",0,1,0
