"","Year-Month","SRS-2","TS-1","TS-6"
"1","2009-01",1,2,0
"2","2009-02",1,2,0
"3","2009-03",0,1,0
"4","2010-01",6,7,1
"5","2010-02",1,2,0
"6","2010-03",3,3,0
"7","2010-12",5,8,3
"8","2011-01",1,1,0
"9","2011-03",0,1,0
"10","2012-01",0,3,1
"11","2012-03",0,1,0
