"","Parameter","Coefficents","S.E","p-value"
"1","ar1",1.31,0.037,0
"2","ar2",-0.324,0.035,0
"3","ma1",-0.815,0.024,0
"4","intercept",-0.397,0.334,0.234
"5","Cold Events",-0.921,0.192,0
