"","Parameter","Coefficents","S.E","p-value"
"1","ar1",1.298,0.054,0
"2","ar2",-0.32,0.049,0
"3","ma1",-0.756,0.041,0
"4","intercept",0.498,0.239,0.038
"5","Cold Events",-0.175,0.2,0.383
