"","Parameter","Coefficents","S.E","p-value"
"1","ar1",0.935,0.23,0
"2","ar2",-0.168,0.229,0.462
"3","ma1",-0.474,0.219,0.03
"4","ma2",-0.526,0.216,0.015
"5","intercept",0.639,0.002,0
"6","Cold Events",-0.032,0.023,0.155
