"","Parameter","Coefficents","S.E","p-value"
"1","ar1",1.415,0.037,0
"2","ar2",-0.43,0.033,0
"3","ma1",-0.915,0.024,0
"4","intercept",-9.557,0.548,0
"5","Cold Events",2.779,1.578,0.078
